YearMonth,monthly_return,picks,cumulative_return,model_name,evaluation_name
2023-12-31,-0.0009041319577809189,21,0.17492622613812703,Logistic Regression,walk_forward
2024-01-31,0.0704501102777501,21,0.2576999083377789,Logistic Regression,walk_forward
2024-02-29,0.026727243418841806,21,0.2913147599357775,Logistic Regression,walk_forward
2024-03-31,-0.06550479274144497,21,0.20672745422221572,Logistic Regression,walk_forward
2024-04-30,0.054756570376832424,21,0.27280371099499034,Logistic Regression,walk_forward
2024-05-31,0.05529827693030157,21,0.34318756308350684,Logistic Regression,walk_forward
2024-06-30,-0.025654181255014025,21,0.308729185880682,Logistic Regression,walk_forward
2024-07-31,0.058245626163312775,21,0.384956936790505,Logistic Regression,walk_forward
2024-08-31,0.08876947973352976,21,0.5078988435227412,Logistic Regression,walk_forward
2024-09-30,0.0008701058055472909,21,0.5092108750606685,Logistic Regression,walk_forward
2024-10-31,0.0722528322196535,21,0.6182556352005033,Logistic Regression,walk_forward
2024-11-30,-0.04307056895768394,21,0.5485564442734394,Logistic Regression,walk_forward
2024-12-31,0.05436126687996255,21,0.6327379344192736,Logistic Regression,walk_forward
2025-01-31,0.010997043703735514,21,0.650693224840829,Logistic Regression,walk_forward
2025-02-28,-0.04867748348493807,21,0.5703416326499404,Logistic Regression,walk_forward
2025-03-31,-0.0008610623646972996,21,0.5689894705703482,Logistic Regression,walk_forward
2025-04-30,0.09810409255352391,21,0.7229137588066861,Logistic Regression,walk_forward
2025-05-31,0.08765837741985731,21,0.8739415833380277,Logistic Regression,walk_forward
2025-06-30,0.024672627773595288,21,0.9201766464931889,Logistic Regression,walk_forward
2025-07-31,0.05234848923044834,21,1.0206949929926963,Logistic Regression,walk_forward
2025-08-31,0.12485675354400479,21,1.27299240972039,Logistic Regression,walk_forward
2025-09-30,0.07253514186635773,21,1.4378642366206127,Logistic Regression,walk_forward
2025-10-31,-0.020520445925391033,21,1.3878381753795948,Logistic Regression,walk_forward
2025-11-30,0.03680327929578496,21,1.475718450661227,Logistic Regression,walk_forward
2021-12-31,-0.062314880263776996,21,-0.06231488026377696,L1 Logistic Regression,walk_forward
2022-01-31,-0.025182235174288324,21,-0.08592788746840518,L1 Logistic Regression,walk_forward
2022-02-28,0.04461619727978941,21,-0.0451454657677417,L1 Logistic Regression,walk_forward
